system,case,expected_violation,detected_violation,operator
SIS,clean-15,false,false,clean-variant
SIS,clean-16,false,false,clean-variant
SIS,clean-17,false,false,clean-variant
SIS,clean-18,false,false,clean-variant
SIS,clean-19,false,false,clean-variant
SIS,clean-20,false,false,clean-variant
SIS,clean-21,false,false,clean-variant
SIS,clean-22,false,false,clean-variant
SIS,clean-23,false,false,clean-variant
SIS,clean-24,false,false,clean-variant
SIS,clean-25,false,false,clean-variant
SIS,clean-26,false,false,clean-variant
SIS,clean-27,false,false,clean-variant
SIS,clean-28,false,false,clean-variant
SIS,clean-29,false,false,clean-variant
SIS,clean-30,false,false,clean-variant
SIS,effect-inversion-1,true,true,effect-inversion
SIS,effect-inversion-2,true,true,effect-inversion
SIS,effect-inversion-3,true,true,effect-inversion
SIS,effect-inversion-4,true,true,effect-inversion
SIS,effect-inversion-5,true,true,effect-inversion
SIS,effect-inversion-6,true,true,effect-inversion
SIS,effect-inversion-7,true,true,effect-inversion
SIS,effect-inversion-8,true,true,effect-inversion
SIS,effect-inversion-9,true,true,effect-inversion
SIS,effect-inversion-10,true,true,effect-inversion
SIS,missing-rule-1,true,true,missing-rule
SIS,missing-rule-2,true,true,missing-rule
SIS,missing-rule-3,true,true,missing-rule
SIS,missing-rule-4,true,true,missing-rule
SIS,missing-rule-5,true,true,missing-rule
SIS,missing-rule-6,true,true,missing-rule
SIS,missing-rule-7,true,true,missing-rule
SIS,missing-rule-8,true,true,missing-rule
SIS,missing-rule-9,true,true,missing-rule
SIS,missing-rule-10,true,true,missing-rule
SIS,wrong-subject-1,true,true,wrong-subject
SIS,wrong-subject-2,true,true,wrong-subject
SIS,wrong-subject-3,true,true,wrong-subject
SIS,wrong-subject-4,true,true,wrong-subject
SIS,wrong-subject-5,true,true,wrong-subject
SIS,wrong-subject-6,true,true,wrong-subject
SIS,wrong-subject-7,true,true,wrong-subject
SIS,wrong-subject-8,true,true,wrong-subject
SIS,wrong-subject-9,true,true,wrong-subject
SIS,wrong-subject-10,true,true,wrong-subject
SIS,wrong-resource-1,true,true,wrong-resource
SIS,wrong-resource-2,true,true,wrong-resource
SIS,wrong-resource-3,true,true,wrong-resource
SIS,wrong-resource-4,true,true,wrong-resource
SIS,wrong-resource-5,true,true,wrong-resource
SIS,wrong-resource-6,true,true,wrong-resource
SIS,wrong-resource-7,true,true,wrong-resource
SIS,wrong-resource-8,true,true,wrong-resource
SIS,wrong-resource-9,true,true,wrong-resource
SIS,wrong-resource-10,true,true,wrong-resource
SIS,wrong-action-1,true,true,wrong-action
SIS,wrong-action-2,true,true,wrong-action
SIS,wrong-action-3,true,true,wrong-action
SIS,wrong-action-4,true,true,wrong-action
SIS,wrong-action-5,true,true,wrong-action
SIS,wrong-action-6,true,true,wrong-action
SIS,wrong-action-7,true,true,wrong-action
SIS,wrong-action-8,true,true,wrong-action
SIS,wrong-action-9,true,true,wrong-action
SIS,wrong-action-10,true,true,wrong-action
SIS,extra-unauthorized-1,true,true,extra-unauthorized
SIS,extra-unauthorized-2,true,true,extra-unauthorized
SIS,extra-unauthorized-3,true,true,extra-unauthorized
SIS,extra-unauthorized-4,true,true,extra-unauthorized
SIS,extra-unauthorized-5,true,true,extra-unauthorized
SIS,extra-unauthorized-6,true,true,extra-unauthorized
SIS,extra-unauthorized-7,true,true,extra-unauthorized
SIS,extra-unauthorized-8,true,true,extra-unauthorized
SIS,extra-unauthorized-9,true,true,extra-unauthorized
SIS,extra-unauthorized-10,true,true,extra-unauthorized
